trade_id,as_of_date,tenor_years,tenor_label,platform,venue,is_block,is_off_date,snap_et,printed_pct,mid_pct,pv01,lag_s,diff_bp,diff_bp_m1
927535021,2024-03-08,12.008219178082191,12Y,BBSF,D2C,False,False,2024-03-08 08:09,3.6988,3.698529713481049,2883.204167021225,0.0,0.02702865189507797,0.09497979309731619
941498602,2024-03-21,10.005479452054795,10Y,BBSF,D2C,False,False,2024-03-21 15:30,3.9092000000000002,3.9093209192402676,9838.93556433268,0.0,-0.012091924026735867,-0.01913726723317133
942963570,2024-03-22,2.926027397260274,2Y11M,BILT,D2C,False,False,2024-03-22 15:50,3.657,3.810332290355642,12434.363140327034,0.0,-15.3332290355642,-15.30506604378763
945027435,2024-03-26,7.002739726027397,7Y,BILT,D2C,False,False,2024-03-26 03:48,3.9239999999999995,3.9223103140261633,21186.69054910463,0.0,0.16896859738362302,0.22689051777931013
950487418,2024-04-01,10.005479452054795,10Y,BBSF,D2C,False,False,2024-04-01 16:23,3.94575,3.9454002203892196,817.7136861244105,0.0,0.03497796107803097,0.04007305347051293
951665527,2024-04-02,30.019178082191782,30Y,BBSF,D2C,False,False,2024-04-02 08:55,3.7923999999999998,3.7925615669573585,12294.238851768981,0.0,-0.01615669573586942,0.2159408956675435
952077284,2024-04-02,10.005479452054795,10Y,BILT,D2C,False,False,2024-04-02 10:54,3.955,3.9328381751608923,26578.282075342824,0.0,2.216182483910778,2.081280003644892
954504855,2024-04-04,5.002739726027397,5Y,BBSF,D2C,False,False,2024-04-04 14:40,4.08588,4.0872997970549925,9836.365331541483,0.0,-0.1419797054992067,-0.2620191918109249
979423211,2024-04-25,3.0,3Y,TWSF,D2C,False,False,2024-04-25 16:29,4.7085,4.709380092358491,552.4104082521353,0.0,-0.08800923584910691,-0.012025525257808312
986379714,2024-05-02,30.02191780821918,30Y,TWSF,D2C,False,False,2024-05-02 13:24,3.875,3.8168123117943953,4794.701885702972,0.0,5.8187688205604715,5.579202087908541
995287002,2024-05-10,1.063013698630137,~13M,XXXX,D2C,False,False,2024-05-10 10:54,5.5,5.1293204256639795,2560.3844956560806,0.0,37.06795743360205,37.06203855999597
998337865,2024-05-14,3.0,3Y,TWSF,D2C,False,False,2024-05-14 09:15,4.46,4.388212534819596,9929.55555338148,0.0,7.178746518040402,7.573957203360315
1001618661,2024-05-16,2.0,2Y,TWSF,D2C,False,False,2024-05-16 14:04,4.6915,4.691709980050847,64134.7495332815,0.0,-0.02099800508474914,-0.021997624321379305
1004526152,2024-05-20,10.005479452054795,10Y,BILT,D2C,False,False,2024-05-20 11:30,4.075,4.07543006516967,50361.83490423112,0.0,-0.04300651696702573,-0.054993088207577756
1004822765,2024-05-20,30.019178082191782,30Y,BILT,D2C,False,False,2024-05-20 16:30,3.84191,3.850580171285447,31374.18087386226,0.0,-0.8670171285447115,-0.8270939772787589
1009394769,2024-05-23,4.846575342465753,5Y,TWSF,D2C,False,True,2024-05-23 13:10,4.3,4.301836260370674,4319.898716304497,0.0,-0.1836260370674303,-0.19825006544298418
1014558972,2024-05-29,10.005479452054795,10Y,TWSF,D2C,False,False,2024-05-29 04:05,4.1925,4.191860099637418,1615.0003457091557,0.0,0.06399003625823241,0.2459672637235677
1027606777,2024-06-07,30.019178082191782,30Y,TWSF,D2C,False,False,2024-06-07 08:41,3.7745,3.776217219131729,10547.416992090111,0.0,-0.1717219131728953,-0.4440199029238645
1036067613,2024-06-14,4.789041095890411,5Y,BILT,D2C,False,True,2024-06-14 10:17,3.9768499999999998,3.978677368556967,1724.5588934694001,0.0,-0.18273685569671905,-0.5675622574408123
1047602102,2024-06-24,5.002739726027397,5Y,TWSF,D2C,False,False,2024-06-24 13:24,4.01678,3.9942854559393712,25075.72425208635,0.0,2.2494544060628563,2.23337862335522
1050864335,2024-06-26,0.5095890410958904,6M,BBSF,D2C,False,False,2024-06-26 07:57,5.2715,5.268246660532381,25131.016821041034,0.0,0.325333946761841,0.3242944446471441
1052804170,2024-06-27,30.019178082191782,30Y,BILT,D2C,False,False,2024-06-27 11:29,3.6586,3.6329005887541315,106856.74994658444,0.0,2.5699411245868387,2.5668827810796824
1081634559,2024-07-19,4.002739726027397,4Y,TWSF,D2C,False,False,2024-07-19 11:47,3.9379999999999997,3.9374200903440646,1099.448864048143,0.0,0.05799096559351291,0.07899921255956066
1095887346,2024-07-31,5.002739726027397,5Y,BBSF,D2C,False,False,2024-07-31 08:52,3.72513,3.724739808501819,4970.546458768641,0.0,0.03901914981812027,-0.0609563959046433
1100154709,2024-08-02,7.002739726027397,7Y,TWSF,D2C,False,False,2024-08-02 15:21,3.3295,3.32842059648904,2482.665565659853,0.0,0.10794035109600308,0.3069615073986842
1103716930,2024-08-06,2.0,2Y,BILT,D2C,False,False,2024-08-06 08:14,3.7800000000000002,3.7577030761567385,49681.71542859675,0.0,2.2296923843261762,1.936011030415985
1105757150,2024-08-07,5.002739726027397,5Y,BILT,D2C,False,False,2024-08-07 10:47,3.49,3.481391532682772,100167.56870984525,0.0,0.8608467317228197,0.6606284543464458
1108162442,2024-08-08,19.517808219178082,20Y,XXXX,D2C,False,True,2024-08-08 11:33,3.49411,3.530477507903972,57598.441874892924,0.0,-3.636750790397203,-3.5919909084461743
1122931068,2024-08-21,5.002739726027397,5Y,TWSF,D2C,False,False,2024-08-21 03:56,3.4078,3.4063099951639857,17795.902213769237,0.0,0.1490004836014247,-0.00800929124942229
1125926792,2024-08-23,0.7479452054794521,9M,BBSF,D2C,False,False,2024-08-22 21:55,4.51284,4.512472095104288,2930.2064173491403,0.0,0.03679048957119235,0.03779400349666062
1145688788,2024-09-06,3.0,3Y,BBSF,D2C,False,False,2024-09-06 14:07,3.2867100000000002,3.2894599109702694,15038.717373402804,0.0,-0.27499109702691094,-0.5040004101365181
1146853688,2024-09-09,3.0,3Y,BBSF,D2C,False,False,2024-09-09 08:08,3.3099999999999996,3.3103099946491223,14210.43985644246,0.0,-0.030999464912273567,-0.3500097935801527
1149011610,2024-09-10,5.002739726027397,5Y,TWSF,D2C,False,False,2024-09-10 11:07,3.2627,3.262850112634997,16939.550545821327,0.0,-0.015011263499697947,0.03448258134106652
1149434306,2024-09-10,10.005479452054795,10Y,TWSF,D2C,True,False,2024-09-10 15:21,3.16692,3.1771399665788405,145423.98302711544,0.0,-1.0219966578840278,-1.253001686291766
1151138672,2024-09-11,1.0,1Y,BILT,D2C,False,False,2024-09-11 12:57,4.013,4.0096900808897695,1947.9100622046233,0.0,0.3309919110230375,0.3987704610985965
1157421036,2024-09-18,5.002739726027397,5Y,BBSF,D2C,False,False,2024-09-18 09:55,3.28151,3.2821575436688613,3534.022205399354,0.0,-0.06475436688613279,-0.21354275173637305
1163102912,2024-09-23,30.019178082191782,30Y,BILT,D2C,False,False,2024-09-23 11:28,3.311,3.308829792876164,50858.051782179304,0.0,0.21702071238358656,0.06896331426888835
1166967539,2024-09-25,0.536986301369863,6M,XXXX,D2C,False,False,2024-09-25 10:13,4.2255,4.225692595062024,1276.6207855729836,0.0,-0.019259506202384813,0.0056018957389269985
1171172603,2024-09-27,7.002739726027397,7Y,BBSF,D2C,False,False,2024-09-27 11:38,3.25134,3.249669886518037,29949.32072770453,0.0,0.1670113481962776,0.3789956076173606
1192320252,2024-10-15,10.005479452054795,10Y,TWSF,D2C,False,False,2024-10-15 07:54,3.5972999999999997,3.59867967598891,12555.826425754161,0.0,-0.13796759889102006,-0.21901726589650394
1197703866,2024-10-18,8.005479452054795,8Y,BBSF,D2C,False,False,2024-10-18 03:23,3.61241,3.612200330931339,6224.424349087474,0.0,0.020966906866126678,0.14099316837619114
1201213418,2024-10-21,10.005479452054795,10Y,BBSF,D2C,False,False,2024-10-21 07:57,3.6656800000000005,3.6671198663252422,25036.299574330376,0.0,-0.14398663252417343,-0.1600649926288611
1205076021,2024-10-23,2.0,2Y,BBSF,D2C,False,False,2024-10-23 04:41,3.8715,3.8724400083012056,1530.4099961989723,0.0,-0.09400083012054417,0.08499936633170613
1247316520,2024-11-18,10.005479452054795,10Y,BGCD,D2D,False,False,2024-11-18 08:50,3.968,3.948790596909544,28734.269933941356,0.0,1.9209403090456156,2.1682562836255137
1247725620,2024-11-18,8.005479452054795,8Y,BBSF,D2C,False,False,2024-11-18 13:01,3.9083,3.9058809491506583,4781.538882251807,0.0,0.24190508493417973,0.2061045535485473
1249685132,2024-11-19,3.0,3Y,TWSF,D2C,False,False,2024-11-19 11:57,3.9765,3.9753293154856624,84262.28652883845,0.0,0.1170684514337772,0.18499491269099444
1251735940,2024-11-20,2.0,2Y,BBSF,D2C,False,False,2024-11-20 09:22,4.10051,4.098880001223812,8966.655977323924,0.0,0.16299987761883017,0.6330004293820579
1255982279,2024-11-22,3.315068493150685,3Y,TWSF,D2C,False,True,2024-11-22 09:14,4.009,4.0075339086017525,1233.2498380260085,0.0,0.14660913982478263,0.09133854059859559
1284774383,2024-12-11,5.002739726027397,5Y,TWSF,D2C,False,False,2024-12-11 11:03,3.7319999999999998,3.732245615165896,24870.714736452654,0.0,-0.024561516589605148,-0.20665414411320526
1287121679,2024-12-12,10.005479452054795,10Y,BBSF,D2C,False,False,2024-12-12 12:23,3.82377,3.8208500125728384,4962.744681654579,0.0,0.29199874271617077,0.3640015356030535
1299440647,2024-12-20,2.0,2Y,BBSF,D2C,False,False,2024-12-20 04:07,4.122,4.1225299734661345,3047.279383935963,0.0,-0.05299734661345923,-0.24099349932349412
1311493968,2024-12-31,10.005479452054795,10Y,TWSF,D2C,False,False,2024-12-31 13:21,4.0840000000000005,4.082726418360264,8170.844326495598,0.0,0.12735816397366762,0.12030326676510938
1316288686,2025-01-06,5.002739726027397,5Y,TREU,D2C,False,False,2025-01-05 20:59,4.0958000000000006,4.095532358092952,4490.588527907647,0.0,0.02676419070484215,0.14590701171632858
1318787310,2025-01-07,7.002739726027397,7Y,BBSF,D2C,False,False,2025-01-07 02:23,4.11576,4.114389869260669,4837.162549492859,0.0,0.13701307393310103,0.055969274444844785
1335398248,2025-01-16,10.005479452054795,10Y,TWSF,D2C,False,False,2025-01-16 08:03,4.215,4.214069430193864,2435.828078012505,0.0,0.0930569806135928,0.03600267435333038
