vintage,lo,hi,cap,u,n_cap,tot_notional,tot_dv01,cap_mean_t,n_sub,par_alpha_cens,ln_mu_cens,ln_sigma_cens,E_above_par_cens,E_above_ln_cens,pred_ncap_ln_cens,pred_ncap_par_cens,ks_pareto,ks_lognorm,ln_degenerate,ln_mult,par_mult,ncap_err_ln,exc_notional_ln,exc_dv01_ln,imp_share_notional,imp_share_dv01,cap_share,coarse
V1,0.0,0.12,6400000000.0,1600000000.0,1411.0,21125970187510.0,206843212.15902188,0.09374484238323155,2975.0,0.7550953662487064,21.673910117757686,1.1379457947596319,inf,14707754763.21348,1406.7459671491174,1609.4331055173782,0.11958024031062198,0.13299421519345422,False,2.2980866817521064,inf,-0.003014906343644652,11722241970894.22,109889972.59395804,0.35686088224119933,0.34694808717205045,0.0,1. <=2y
V1,0.12,0.3,2100000000.0,525000000.0,3984.0,15833084968239.0,270374609.429531,0.15874334824502198,4149.0,0.46458307914595526,21.373393800030634,0.9127106834118958,inf,5001119890.562552,4130.408029581087,4588.712898096704,0.150298847716689,0.15202089774803174,False,2.381485662172644,inf,0.03674900340890752,11558061644001.209,183476540.45911154,0.42196341057282677,0.4042658931328687,0.0,1. <=2y
V1,0.3,0.54,1200000000.0,300000000.0,229.0,1489779071005.0,67886764.23504794,0.45963351716776385,1222.0,1.3281950998136864,-10.480706967087528,4.848816514389658,4856361721.065396,3885291105.478949,227.20031446556087,230.36887592397878,0.12438625204582651,0.12438625204582651,False,3.2377425878991244,4.04696810088783,-0.007858888796677399,614931663154.6793,28264320.315360785,0.2921692055702824,0.29395737393417304,0.0,1. <=2y
V1,0.54,1.04,1100000000.0,275000000.0,959.0,5712156796526.0,553110511.5336001,0.9690422280086041,4807.0,1.2790758042247652,2.4104131959100323,3.77969017016506,5041581403.144752,3483523156.362185,961.78625675334,983.1218152679543,0.10211673608591032,0.1021386960433519,False,3.166839233056532,4.583255821040683,0.0029053772193325944,2285798706951.3354,221503547.17633086,0.2857978774647496,0.28595343020914255,0.0,1. <=2y
V1,1.04,2.25,460000000.0,115000000.0,4569.0,7264760712083.0,1401578553.4766777,1.9143140254502469,16622.0,1.0846980309845464,12.929935375442675,2.5387806185354767,5891058959.138369,1489411376.2101886,4552.730410175784,4751.382177675737,0.089425179042007,0.0942612221293912,False,3.237850817848236,12.806649911170366,-0.0035608644833040604,4703380577904.352,900374740.7312589,0.3929917322950757,0.391135103825407,0.0,1. <=2y
V1,2.25,5.25,240000000.0,60000000.0,10587.0,9323009814665.0,4099020591.7722588,4.15017340361415,41228.0,1.032704763300416,18.264477128997147,0.8979268449241443,7578380583.752668,409604543.14703417,9778.017961461437,12942.282671779702,0.12488846828932226,0.133296314305011,False,1.7066855964459757,31.576585765636118,-0.07641277401894431,1795603298297.6506,745206505.2036754,0.1614952584512761,0.1538339326966895,0.0,2. 2-10y
V1,5.25,10.5,170000000.0,42500000.0,9484.0,5981768173096.0,5315604473.05738,8.231891305239893,41291.0,1.212393511465417,-12.434985364219367,5.081854081526698,970401099.0122939,672127056.8625884,9336.278576675655,9449.828509089286,0.1136192098866631,0.10649691847465309,False,3.9536885697799318,5.708241758895847,-0.015575856529348897,4762173007284.788,3920169057.271576,0.44324265437908944,0.4244548704446144,0.0,2. 2-10y
V1,10.75,31.0,120000000.0,30000000.0,4010.0,2114651621135.0,4923566630.302741,20.519224113889813,16658.0,1.098841755844256,16.78364106282918,1.2289181834921472,1334061799.843811,239110271.66483298,3945.644371733688,4643.446384995111,0.07880549683394117,0.06979560598420564,False,1.9925855972069415,11.117181665365091,-0.016048785103818464,477632189375.9802,980064193.78136,0.18425150341923066,0.16601041341933992,0.0,3. 10-30y
V1,31.0,41.0,75000000.0,18750000.0,60.0,20940230005.0,77677697.55426028,36.40490499337163,395.0,1.3275939250309252,16.49878270359823,0.992932951230848,303941974.40602696,123342667.06519984,56.06992039360431,74.538371954865,0.15936459187822843,0.16575221619830333,False,1.6445688942026644,4.052559658747026,-0.06550132677326148,2900560023.91199,10559461.209808776,0.12166375444750148,0.1196713647369693,0.0,4. >30y
V2,0.0,0.12,17000000000.0,4250000000.0,1875.0,144285239633160.0,1380137009.846323,0.08170666666666666,11300.0,1.4597407419545152,-7.82981518002242,4.62119751428005,53977362344.975525,46676379145.332146,1697.1568466347335,1721.0546599488207,0.2753833579380677,0.2756435845220786,False,2.745669361490126,3.1751389614691483,-0.0948496817948088,55643210897497.77,454642128.5064885,0.278315621162508,0.2477912022231991,0.0,1. <=2y
