dissemination_id,original_id,tenor,reach_back_days,notional,upfront,fixed_rate_pct,orig_err,unwind_err,orig_mid_pct,orig_dev_bp,original_dealer_sign,npv_pay,pv01,ratio,edge_bps,unwind_dealer_sign
3088565370000000201,1672445761,9.961643835616439,265.967962962963,4000000.0,74567.575,3.7784999999999997,,,3.77158924700999,0.6910752990009872,1.0,78278.32051525265,3377.6229227080053,0.9525954888808631,1.0986263417106272,-1.0
3087843785000002301,1487188162,9.983561643835616,383.8063310185185,12000000.0,125625.60068,1.47,,,3.85710716542461,-238.71071654246103,-1.0,2293291.466470909,9094.319811460246,0.05477960499862768,238.3538198271096,-1.0
3087843801000003901,1487189065,9.983561643835616,383.8050694444444,13000000.0,136094.4,1.47,,,3.859640254347571,-238.96402543475713,-1.0,2484399.088676818,9852.179795748598,0.05477960470211063,238.35381990188162,-1.0
3087843786000002401,1487177348,9.983561643835616,383.82016203703705,13000000.0,136094.4,1.47,,,3.8532152037605045,-238.32152037605044,-1.0,2484399.088676818,9852.179795748598,0.05477960470211063,238.35381990188162,-1.0
3087843827000000201,2910015877000000201,7.463013698630137,13.053472222222222,360000000.0,5408853.84,3.7705,,,3.834929583935919,-6.44295839359188,-1.0,3935111.4260634184,231146.91528401859,1.3745109742447306,-6.375782311979984,1.0
3075942492000000301,3033402903000001001,10.008219178082191,3.7553935185185185,15000000.0,74000.0,3.95,,,3.9475598330898656,0.24401669101346002,1.0,76169.70815624762,12368.501800879483,0.9715148159449832,0.17542206737547975,-1.0
3087843788000002601,1487136028,9.983561643835616,383.82542824074073,10000000.0,104688.0,1.47,,,3.846907716534245,-237.69077165342455,-1.0,1911076.2220590906,7578.599842883538,0.05477960470211064,238.35381990188154,-1.0
3087831003000000901,1487189045,9.983561643835616,383.86193287037037,10000000.0,104688.0,1.47,,,3.859640254347571,-238.96402543475713,-1.0,1911424.762876009,7578.377164758188,0.05476961585580909,238.4068150207537,-1.0
3092811739000000101,2774939218000001201,2.0027397260273974,25.455150462962962,250000000.0,386188.11,3.4935,,SnapshotMiss: citivelo_excel minute store (USD-SOFR-1D-CITIVELOEXCELMIN): no snapshot satisfie,3.479529766317631,1.3970233682369049,1.0,,,,,
3092811740000000201,2775449911000000401,4.002739726027397,25.390543981481482,25000000.0,47900.0,3.521,,SnapshotMiss: citivelo_excel minute store (USD-SOFR-1D-CITIVELOEXCELMIN): no snapshot satisfie,3.5052948447998644,1.570515520013549,1.0,,,,,
3110024805000000101,1140242534,3.2054794520547945,617.0419097222223,21000000.0,114200.0,3.4099999999999997,,,3.446901478142126,-3.6901478142126187,-1.0,170030.44426311716,4097.4100908006185,0.6716444251788158,13.625788736271721,-1.0
3135424068000000101,1672445883,9.961643835616439,267.89907407407406,3000000.0,51300.0,3.7784999999999997,,,3.7713227358632526,0.717726413674713,1.0,54805.37004067085,2535.081543751076,0.9360396611122317,1.3827444917152734,-1.0
3133676450000000301,2909594996000001701,24.81095890410959,14.948078703703704,11000000.0,314898.38465,3.9145,,,4.219075692191417,-30.45756921914173,-1.0,651621.7289127447,16833.619409177656,0.4832533518724426,20.00302704236997,-1.0
3133682321000001001,2385777319000001101,3.164383561643836,58.97818287037037,86000000.0,844000.0,3.4564999999999997,,,3.45650752827276,-0.000752827276029322,-1.0,853342.7368555777,25687.197081418875,0.9890516008960197,0.3637118065456761,-1.0
3116868666000000201,918188607000000201,1.0356164383561643,188.13056712962964,45000000.0,84449.388,3.55,,,3.5485182061373397,0.1481793862660119,1.0,85050.06766553805,4470.774403571004,0.9929373405333405,0.13435696175102385,-1.0
3136338391000000101,1672445929,9.961643835616439,267.9313773148148,3000000.0,51147.72,3.7784999999999997,,,3.7713227358632526,0.717726413674713,1.0,56035.27106831095,2534.56043612076,0.912777238779613,1.928362408983045,-1.0
3159857348000000701,2522976399000000401,5.934246575342466,49.841631944444444,17000000.0,139594.23,3.7675,,,3.7768471780456023,-0.9347178045602256,-1.0,204471.9756207117,8967.959003818652,0.6827059286547043,7.234393644427461,-1.0
3162039071000000101,2536069440000000301,7.501369863013698,49.122627314814814,86000000.0,67654.04231,3.978,,,3.818044307464646,15.995569253535402,1.0,358907.18180255964,56015.02821248812,0.1885001073821296,5.199553562442499,-1.0
3159857345000000401,1005902396,5.778082191780822,724.1219212962963,15000000.0,121689.945,4.308,,,4.132955594243245,17.504440575675506,1.0,-211123.85735386657,5565.803585717354,0.5763912545233314,16.06846360575259,1.0
3159857347000000601,2522717848000001901,5.934246575342466,49.846377314814816,17000000.0,137937.858,3.7685000000000004,,,3.78078640895484,-1.228640895483979,-1.0,203575.14853700344,8967.959003818652,0.6775770961794353,7.319089049030484,-1.0
3159857349000000801,2522976401000000601,5.934246575342466,49.86126157407407,17000000.0,139594.23,3.7675,,,3.7479275024773635,1.9572497522636567,1.0,204471.9756207117,8967.959003818652,0.6827059286547043,7.234393644427461,-1.0
3215409196000000301,2955338392000000601,5.002739726027397,15.011030092592593,21000000.0,84584.56584,3.708,,,3.789660840080273,-8.166084008027275,-1.0,310775.37156315846,9459.974003022822,0.2721726802691956,23.910298870893502,-1.0
3214553695000001001,1933469471000000401,5.002739726027397,106.00833333333334,15000000.0,695720.871,3.411,,,3.577515129436644,-16.651512943664404,-1.0,420243.17190625984,6775.520214328577,1.655519750253524,-40.65779311102517,1.0
3212288119000000701,1487188687,9.983561643835616,390.75211805555557,14000000.0,367736.0,1.47,,,3.8571071654246105,-238.71071654246103,-1.0,2865600.511934364,10519.09559534915,0.12832772693489206,237.4600068316477,-1.0
3214429771000000201,2809541077000000301,2.0027397260273974,28.023252314814815,230000000.0,5443700.0,3.621,,,3.5856446182800505,3.5355381719949452,1.0,1639322.2857652716,43822.88128495798,3.320701516272477,-86.81258745851942,1.0
3212288126000001401,1487187994,9.983561643835616,390.75269675925927,13000000.0,341469.44,1.47,,,3.8571071654246105,-238.71071654246103,-1.0,2660914.761081909,9767.731624252783,0.12832783860433056,237.45997641078134,-1.0
3210742244000000701,2027957017000001001,6.1808219178082195,97.99667824074074,35000000.0,368547.6007,3.34,,,3.4979278889604735,-15.79278889604736,-1.0,1376863.2410094189,18627.593548440545,0.2676719006818767,54.13021481746,-1.0
3215409197000000401,2302129629000000501,5.002739726027397,71.20222222222222,22000000.0,243606.33185,3.3579999999999997,,,3.4492072518713446,-9.120725187134493,-1.0,667625.6302103852,9938.153502167756,0.36488463118654335,42.66580288459986,-1.0
3214897337000000201,2792556111000000201,5.002739726027397,29.074826388888887,21000000.0,546753.48,3.476,,,3.555615414686622,-7.961541468662192,-1.0,524813.3707686807,9461.434969561711,1.0418055454631123,-2.3188986979144905,1.0
3210768720000000301,2553497952000000501,6.810958904109589,50.03998842592593,42000000.0,249383.86089,3.61,,,3.7193292924129975,-10.93292924129976,-1.0,1235939.6497339308,25002.131633332738,0.20177672991046658,39.45886708030361,-1.0
3212288124000001201,1487189343,9.983561643835616,390.74939814814815,13000000.0,341469.44,1.47,,,3.861790100862595,-239.1790100862595,-1.0,2660914.761081909,9767.731624252783,0.12832783860433056,237.45997641078134,-1.0
3210397320000003901,1667576367000000201,6.564383561643836,130.98363425925925,50000000.0,1485121.696,3.351,,,3.5701773652177344,-21.917736521773445,-1.0,2108535.5532096457,29105.448524668253,0.7043379912372474,21.41914620148433,-1.0
3210674875000000401,1818338751000000301,6.734246575342466,116.99832175925926,41000000.0,282628.0464,3.52,,,3.717579865406437,-19.757986540643692,-1.0,1358466.401020117,24358.863286062344,0.20804934607713912,44.166197001306315,-1.0
3203132721000000201,3182282080000000601,10.008219178082191,0.9775231481481481,25000000.0,19000.0,4.1697999999999995,,,4.170089881778721,-0.028988177872157905,-1.0,36479.82090997882,20431.436012794755,0.5208358902552253,0.8555356020512926,-1.0
3215409194000000101,2627455228000000101,5.002739726027397,43.09715277777778,20000000.0,126812.5463,3.5970000000000004,,,3.6724090150436086,-7.54090150436082,-1.0,396635.3874623305,9009.323967322514,0.3197207064940561,29.94928833073358,-1.0
3215427658000000101,2014440979000000301,5.002739726027397,98.96125,16000000.0,192576.95019,3.312,,,3.4754898782254817,-16.34898782254819,-1.0,519388.49910673406,7227.57880240022,0.370776308141597,45.21729307305547,-1.0
3213655865000000101,1416936897,19.852054794520548,434.9704976851852,5000000.0,26016.7509,380.5,,,3.867673524871961,37663.2326475128,1.0,-250146092.63874134,6652.269300531074,0.00010400622542432892,37599.210823872294,1.0
3261466630000000501,1996126680000000801,3.1342465753424658,104.02361111111111,15000000.0,190600.0,3.3619999999999997,,,3.3719219762581223,-0.9921976258122633,-1.0,247114.04018425383,4238.952621224883,0.7713038071729325,13.332076395778067,-1.0
3261923859000000301,3248961873000000601,5.005479452054795,0.373587962962963,140000000.0,48744.63,4.4174999999999995,,,4.403456584848467,1.4043415151532734,1.0,16728.27838333696,51200.43760206667,2.91390595511338,-0.625314023006919,1.0
3263717837000000101,1511159985,5.002739726027397,377.0080902777778,960000.0,6700.0,6.605999999999999,,,3.626438598060992,297.9561401939007,1.0,-94465.83056140327,353.5603735320975,0.07092511609946589,248.23435297518026,1.0
3261466632000000701,1610680806000000401,3.0465753424657533,138.94253472222223,20000000.0,78666.588,3.3417000000000003,,,3.3424331566042262,-0.07331566042259041,-1.0,334915.3299778546,5708.946945208985,0.23488500214427813,44.885465644921005,-1.0
3327755614000000201,1584656198,20.013698630136986,333.89684027777776,160000000.0,4672222.944,4.0615,,,4.133824724077081,-7.2324724077081015,-1.0,6955730.226330712,192294.19572435707,0.6717084751667679,11.875071287143745,-1.0
3331306201000000101,2878385560000001101,2.0027397260273974,29.019814814814815,160000000.0,214000.0,3.649,,,3.6122166773978797,3.678332260212036,1.0,780571.7918057591,30539.327000720587,0.27415799833726595,18.552202928125777,-1.0
3352523342000000401,915252793000000401,5.391780821917808,201.85907407407407,130000000.0,742653.86,3.338,,,3.386489254720963,-4.848925472096299,-1.0,3265378.0833800808,59141.992138639485,0.22743273245444798,42.65538126389725,-1.0
3375842400000000501,3248943958000000401,10.008219178082191,7.204097222222222,25000000.0,200000.0,4.17,,,4.157169980053189,1.2830019946810545,1.0,-224854.69520948548,20551.229266138853,0.889463303462133,1.2094018750711528,1.0
3434544641000001501,1106278333,3.191780821917808,662.8337152777777,50000000.0,209100.0,3.5389999999999997,,,3.558309619131112,-1.9309619131112399,-1.0,327857.3342591687,9814.688090206379,0.6377774054452234,12.099960097323025,-1.0
3434544642000001601,1106278334,2.0246575342465754,662.8337037037037,25000000.0,7900.0,3.744,,,3.7713960818114636,-2.7396081811463358,-1.0,35213.61497982533,2507.6813594694654,0.22434504394184143,10.891979906731015,-1.0
3434544640000001401,1106278857,2.1506849315068495,662.8337152777777,25000000.0,9200.0,3.71,,,3.7332578990803555,-2.325789908035558,-1.0,23397.7428536003,2502.255627893414,0.39320032096960844,5.673977788413657,-1.0
3461548616000000201,1710459215,30.02191780821918,267.25694444444446,130000000.0,6718782.0232,3.9405638799999996,,,3.9019835040196056,3.858037598039399,1.0,6904646.720704675,214624.8971964214,0.9730812154447627,0.8659978405700738,-1.0
3460243746000000201,3110721289000000501,10.008219178082191,20.108449074074073,27000000.0,2300.0,3.9669999999999996,,,4.006735097750467,-3.9735097750467574,-1.0,102902.51310971938,22271.907351274134,0.022351251981063226,4.517013811300903,-1.0
3461541608000000101,922499694,30.02191780821918,819.2875,100000000.0,13595218.45,3.4299999999999997,,,3.3689459430608513,6.105405693914845,1.0,13740475.95878867,165096.074766478,0.9894284951100429,0.879836234714438,-1.0
3459535463000000401,2520256275000000101,19.904109589041095,68.03703703703704,23000000.0,207510.66,4.22712,,,4.18587036221155,4.124963778845014,1.0,176778.2458808273,31198.32379538696,1.1738472625183223,-0.9850661952459396,1.0
3461041227000000101,2093623728000000101,10.89041095890411,105.13167824074074,100000000.0,2846884.0,3.7379999999999995,,,3.6915555128939785,4.6444487106021,1.0,2910710.1360516325,88924.81989424789,0.9780719710763737,0.7177538973656225,-1.0
3483296483000000101,956728074,24.52054794520548,785.9391435185186,37000000.0,799193.0,3.9533,,,3.8857901104260755,6.750988957392456,1.0,1850306.7460963018,55191.34491735887,0.43192459935959443,19.044901835064792,-1.0
3483307240000000601,956743373,24.52054794520548,785.9379513888889,37000000.0,798978.6,3.9533,,,3.885558831011793,6.774116898820726,1.0,1850456.0716528557,55190.34135554476,0.4317738811742448,19.05183852513385,-1.0
3483094118000000201,1454345663,10.008219178082191,427.07121527777775,250000000.0,5668248.0,3.8035,,,3.7988307133697266,0.46692866302735503,1.0,6667658.098554641,200117.44084595863,0.8501107759602604,4.994117925603205,-1.0
