day,is_fomc,2y,10y,30y,n
2025-04-07,False,42.344654051723694,32.669996039783086,26.810193509960754,1140
2024-08-05,False,33.55761129889578,19.261242383152364,12.393354984396751,1319
2025-04-04,False,24.41973564245717,16.052729652414087,11.256436347780095,1020
2024-06-12,True,16.579214769485645,15.09821884378232,10.421113772788772,1299
2025-04-09,False,37.72592075304624,14.530193051791173,20.448166994125643,1313
2024-11-07,True,6.667954514771907,13.128893754031083,10.426069474699887,1319
2024-12-18,True,14.96833886366909,12.844141550727386,8.799036820289757,1079
2024-07-31,True,12.499555047584181,10.806728283946256,12.38614189710853,1276
2024-05-01,True,10.3593390440397,10.479958931271995,8.282427956448657,1320
2025-09-17,True,8.247822214521193,10.08842615719135,8.16164451577265,1297
2025-10-29,True,11.184578285819214,9.840190194091917,8.577701369871363,1123
2024-09-18,True,11.47624818238728,9.462231881355592,9.242547299077557,1320
2026-07-29,True,11.491791370271926,9.129224395244137,13.456957187447756,1319
2024-03-20,True,9.685716300577496,8.265832702376485,8.107505275794438,1320
2026-04-29,True,11.694259779695585,7.825417926189914,4.975381679171392,1320
2025-12-10,True,8.59745906020538,7.789283188532693,5.391358306070117,1298
2025-01-29,True,6.843512279953359,7.6789524863215775,6.162276313574523,1320
2026-03-18,True,12.64597012373622,7.294913258240854,3.604997482884471,1140
2025-03-19,True,11.551630825657753,7.291328894639378,5.273341496120622,1320
2026-06-17,True,17.20566487477356,6.764418089735557,6.101498019417875,1320
2025-06-18,True,5.71028584599668,6.393012681471305,6.956243220610759,1295
2025-05-07,True,6.027769032909987,6.354897392670523,4.912069841938262,1031
2025-07-30,True,9.441667315052484,5.120869689109952,4.287221526210715,1304
2026-01-28,True,3.2124883326139866,4.506403247271294,5.450241824705074,1319
2026-03-16,False,3.6082649812893806,3.828396408848903,4.45275103029735,1320
