vintage,lo,hi,cap,n_all,n_cap,n_cap_at_C,cap_share,tot_notional,tot_dv01,cap_mean_tenor,notional_at_cap_face,u,C,n_sub,par_alpha_trunc,par_alpha_cens,ln_mu_trunc,ln_sigma_trunc,ln_mu_cens,ln_sigma_cens,loglik_pareto,loglik_lognorm,aic_pareto,aic_lognorm,ks_pareto,ks_lognorm,pred_ncap_par_trunc,pred_ncap_par_cens,pred_ncap_ln_trunc,pred_ncap_ln_cens,E_above_par_trunc,E_above_par_cens,E_above_ln_trunc,E_above_ln_cens,par_mean_exists_trunc,par_mean_exists_cens,ln_degenerate,E,excess_notional,excess_dv01,tot_notional_imp,tot_dv01_imp,imp_share_notional,imp_share_dv01
V1,0.0,0.12,6400000000.0,7882.0,1411.0,1411.0,0.17901547830499873,21125970187510.0,206843212.1590219,0.09374484238323155,9030400000000.0,640000000.0,6400000000.0,4503.0,-0.12327062586706841,0.5188899493338546,21.650831532657037,1.2712519829100484,21.614002592278005,1.1905801769981328,-100476.99072640212,-100445.2993999556,200955.98145280423,200894.5987999112,0.08081725454894806,0.08520114516678334,,1955.3959916969193,1668.432554074666,1422.4938748852403,inf,inf,17213993014.237915,15369031803.953808,False,False,False,inf,inf,inf,inf,inf,,
V1,0.12,0.3,2100000000.0,15649.0,3984.0,3984.0,0.25809955907725735,15833084968239.0,270374609.429531,0.15874334824502198,8366400000000.0,210000000.0,2100000000.0,6758.0,-0.22991694333759644,0.383166383853245,28.63170986065861,5.999999999993648,20.686448335371715,1.63032775715465,-143522.742021064,-143529.69435956166,287047.484042128,287063.3887191233,0.1147533283604012,0.11549433451861679,,4771.296851440938,101417.26552606533,4204.898689736317,inf,inf,2.0207811928022732e+20,10072300136.125381,False,False,True,inf,inf,inf,inf,inf,,
V1,0.3,0.54,1200000000.0,6756.0,229.0,229.0,0.034191829484902306,1489779071005.0,67886764.23504794,0.4596335171677638,274800000000.0,120000000.0,1200000000.0,2970.0,0.7392942264311095,0.9833287470314139,18.878217847809722,0.9934939948087408,18.45286883619225,1.2941287628242484,-59886.58153180486,-59839.5864102559,119775.16306360973,119683.1728205118,0.12908045362008985,0.08914585412119985,661.9881147519471,344.41153176144405,104.18433516107173,202.9572018062089,inf,inf,1849690529.6315901,2251003370.473662,False,False,False,inf,inf,inf,inf,inf,,
V1,0.54,1.04,1100000000.0,29562.0,959.0,959.0,0.03274473986875042,5712156796526.0,553110511.5336001,0.9690422280086041,1054900000000.0,110000000.0,1100000000.0,12343.0,0.7911220118725535,1.0014246372339897,18.23153375536467,1.2746409878578036,17.76906574888008,1.5055958302368826,-247378.15869722827,-247303.9765484707,494758.31739445654,494611.9530969414,0.08247915806717104,0.08004536984525643,2381.944608662125,1366.4557654341147,670.0011329026719,916.0101705330179,inf,773226386813.2047,1980642498.1728084,2280440594.039184,False,True,False,773226386813.2047,740469204953863.4,71754592814.02515,746181361750389.4,72307703325.55875,0.9923448144253745,0.9923506004741532
V1,1.04,2.25,460000000.0,57712.0,4569.0,4569.0,0.08192403659550873,7264760712083.0,1401578553.4766777,1.9143140254502469,2101740000000.0,46000000.0,460000000.0,31894.0,0.4252273171007689,0.7714798379012245,18.06469089026411,1.2361803068791384,17.936690768390854,1.3749054231681084,-618919.8014421567,-618679.6697646232,1237841.6028843133,1237363.3395292463,0.07316561730534049,0.060785519393042275,19188.768917649355,6497.661268023871,3583.087925131607,4474.208586543053,inf,inf,910950412.9886935,1026719096.116485,False,False,False,inf,inf,inf,inf,inf,,
V1,2.25,5.25,240000000.0,132408.0,10587.0,10587.0,0.08102229472539424,9323009814665.0,4099020591.7722583,4.15017340361415,2540880000000.0,24000000.0,240000000.0,73113.0,0.1765897311853332,0.7107791503705387,17.915440181424298,1.0506116387735391,17.910670606129976,1.083155804978775,-1381413.1970297662,-1380346.1447233337,2762828.3940595323,2760696.2894466673,0.09561599065092441,0.06621069630857968,145723.93727218048,17669.435723610462,9645.306391202777,10474.66979761565,inf,inf,439626735.84920156,453998439.3049333,False,False,False,inf,inf,inf,inf,inf,,
V1,5.25,10.5,170000000.0,126119.0,9484.0,9484.0,0.07676083698728978,5981768173096.0,5315604473.05738,8.231891305239893,1612280000000.0,17000000.0,170000000.0,69579.0,0.28168913930960027,0.745404050637452,17.54239798979576,0.8417721960594647,17.493060024362336,1.0652783913307198,-1286732.019881993,-1284430.3717969728,2573466.039763986,2568864.7435939456,0.08688884229856514,0.07757759833128464,76218.69871813156,15244.455202647669,4051.504544491583,8494.46496717959,inf,inf,254906148.61489877,310532397.77319336,False,False,False,inf,inf,inf,inf,inf,,
V1,10.75,31.0,120000000.0,75501.0,4010.0,4010.0,0.053999284777685064,2114651621135.0,4923566630.302741,20.519224113889813,481200000000.0,12000000.0,120000000.0,40349.0,0.5789183385354152,0.8836906439045135,16.64341840658798,1.0963765423674379,16.407514955770797,1.300783179952902,-724923.5735643985,-724459.998200711,1449849.147128797,1448923.996401422,0.10561771381202417,0.08286865947789801,14449.387614784282,6067.049378064335,2544.265885975875,3787.5729161288477,inf,inf,204385073.99427673,237825928.37910935,False,False,False,inf,inf,inf,inf,inf,,
V1,31.0,41.0,75000000.0,893.0,60.0,60.0,0.06942889137737962,20940230005.0,77677697.55426028,36.40490499337163,4500000000.0,7500000.0,75000000.0,552.0,-0.05337690240725056,0.7016801106960466,17.020056655414795,0.7071822417929363,17.053929061280353,0.7807036871950528,-9846.955066111757,-9811.999996199585,19695.910132223515,19627.99999239917,0.1398337555770255,0.10964695222625143,,136.92857473625259,35.59194969090819,53.6934164701284,inf,inf,105768142.05434904,113417494.85750598,False,False,False,inf,inf,inf,inf,inf,,
V2,0.0,0.12,17000000000.0,38135.0,1875.0,1875.0,0.04916743149337879,144285239633160.0,1380137009.846323,0.08170666666666666,31875000000000.0,1700000000.0,17000000000.0,19668.0,0.5115650231996699,0.8696850604884204,21.260624889094437,1.4318836807956086,21.440913544188415,1.2852593279274445,-451624.06355536147,-451541.9832011086,903250.1271107229,903087.9664022172,0.1206347761913531,0.11513168742265811,8750.594871745376,3069.418406297292,2392.3070320489132,1931.2907617099704,inf,inf,37860451340.073494,33706456559.934765,False,False,False,inf,inf,inf,inf,inf,,
