vintage,lo,hi,cap,u,n_cap,tot_notional,tot_dv01,cap_mean_t,n_sub,par_alpha_cens,ln_mu_cens,ln_sigma_cens,E_above_par_cens,E_above_ln_cens,pred_ncap_ln_cens,pred_ncap_par_cens,ks_pareto,ks_lognorm,ln_degenerate,ln_mult,par_mult,ncap_err_ln,exc_notional_ln,exc_dv01_ln
V1,0.0,0.12,6400000000.0,3555555555.5555553,1411.0,21125970187510.0,206843212.1590219,0.09374484238323155,1315.0,1.1207947697766056,20.67254960971565,1.4323732681907304,59382426406.67287,15649015717.932507,1383.7104067826763,1410.2644778115634,0.2661689126143669,0.251221136688646,False,2.445158705926954,9.278504126042636,-0.019340604689811247,13050361178002.768,122340405.16761136
V1,0.12,0.3,2100000000.0,1166666666.6666667,3984.0,15833084968239.0,270374609.429531,0.15874334824502198,2069.0,0.6545970006892979,21.588955517698835,0.31669358243209905,inf,2914101268.035527,4019.0133902542175,4409.007267845853,0.1904818144184548,0.18448158764103106,False,1.3876672704931081,inf,0.008788501569833684,3243379451853.5405,51486491.38163351
V1,0.3,0.54,1200000000.0,500000000.0,229.0,1489779071005.0,67886764.23504794,0.4596335171677638,580.0,1.5942486074741384,-9.96988134356964,4.408805575765274,3219356856.553044,2945731502.927297,190.1974583249753,190.92388248006642,0.33793103448275863,0.7017241379310345,False,2.454776252439414,2.68279738046087,-0.16944341342805547,399772514170.351,18374884.675511815
V1,0.54,1.04,1100000000.0,500000000.0,959.0,5712156796526.0,553110511.5336001,0.9690422280086041,2240.0,1.722521431226627,-9.969881343603433,4.235797130373877,2622446189.772567,2456993816.154516,772.711452977718,775.3729076684135,0.31473214285714285,0.7683035714285714,False,2.233630741958651,2.3840419907023334,-0.19425291660300525,1301357069692.1812,126106995.42492595
V1,1.04,2.25,460000000.0,255555555.55555555,4569.0,7264760712083.0,1401578553.4766777,1.9143140254502469,5416.0,1.450147979402815,-10.641049617372015,4.618860976701198,1481886181.9845448,1309963595.9996967,4020.054945673224,4026.1182715953173,0.12820922079380317,0.6360782865583456,False,2.847746947825428,3.2214916999664016,-0.12014555796164939,3883483670122.6143,743420725.7322721
V1,2.25,5.25,240000000.0,133333333.33333333,10587.0,9323009814665.0,4099020591.7722583,4.15017340361415,11517.0,1.2125063139254957,18.89900870280784,0.7118731653703886,1369378207.9535933,404388876.56675327,10476.435464076963,11079.574576172681,0.10227389445398538,0.09915418999902548,False,1.6849536523614719,5.705742533139972,-0.010443424570042215,1740385036212.2168,722289968.9335991
V1,5.25,10.5,170000000.0,94444444.44444445,9484.0,5981768173096.0,5315604473.05738,8.231891305239893,10815.0,1.3415679078652218,-11.636477669686172,4.805925641519185,667704837.267908,556897653.6090399,8995.7711188823,9010.874920915996,0.16961123075868503,0.5546925566343042,False,3.275868550641411,3.927675513340635,-0.05147921563872848,3669337346828.1343,3020558620.1346536
V1,10.75,31.0,120000000.0,66666666.666666664,4010.0,2114651621135.0,4923566630.302741,20.519224113889813,4852.0,1.33353104685611,17.32880617982466,1.0709450807300125,479786595.97398657,230271133.94646975,3952.230369855933,4077.834555519674,0.14254628191914265,0.10540255028620882,False,1.9189261162205813,3.9982216331165548,-0.014406391557123976,442187247125.3437,907333922.4068906
V1,31.0,41.0,75000000.0,41666666.666666664,60.0,20940230005.0,77677697.55426028,36.40490499337163,,,,,,,,,,,,,,,,
V2,0.0,0.12,17000000000.0,9444444444.444445,1875.0,144285239633160.0,1380137009.846323,0.08170666666666666,2107.0,1.2790430477733663,21.983255330841217,1.2075785701033765,77922499720.57033,35062379346.165054,1829.8062934748739,1879.867826853864,0.1789677578637292,0.2066195623567847,False,2.0624929027155914,4.583676454151195,-0.024103310146733947,33866961274059.477,276715651.5832487
