clock,scope,corr
exec,POOLED,0.10646258653288063
exec,SFR_FF,0.11488478837121034
exec,TU,0.0817331214350212
exec,FV,0.25387405146155695
exec,TY_UXY,0.12309284932996999
exec,US,0.25778635460884586
diss,POOLED,0.25700874201081114
diss,SFR_FF,0.10715901831453699
diss,TU,0.2585320787086522
diss,FV,0.3795015149875322
diss,TY_UXY,0.32756910868292904
diss,US,0.2796647276985684
