clock,split,scope,bucket,n_obs,n_days,n_clusters,sum_beta_kneg,se_cluster_kneg,t_cluster_kneg,se_nw_kneg,t_nw_kneg,sum_beta_kpos,se_cluster_kpos,t_cluster_kpos,se_nw_kpos,t_nw_kpos,diff_pos_minus_neg,se_cluster_diff,t_cluster_diff,se_nw_diff,t_nw_diff,beta_k0,se_cluster_k0,t_cluster_k0,abs_ratio_pos_over_neg,post_print_share,centroid_absbeta_D2,abs_beta_mass,abs_beta_mass_null
exec,all,pooled,POOLED,402946,67,67,0.020989087596520517,0.008192278061397815,2.562057517971898,0.006268990880156141,3.3480807354433004,-0.0048533270992987725,0.007996229716385675,-0.606951935029262,0.006228358658929053,-0.7792305108089724,-0.02584241469581929,0.012946868853169535,-1.9960358746889433,0.009181094655863913,-2.8147422136982203,0.0003286658218408505,0.001301762623865022,0.2524775376212748,0.23123097071181584,0.1878047061942679,-1.4815651444450373,0.06268495728494172,0.06010702887080747
exec,all,bucket,SFR_FF,57600,44,44,0.007348190193349061,0.008110068349002922,0.9060577392362509,0.00778622704654309,0.9437420909285572,0.00044394839609338075,0.007337255773673637,0.060506054277988386,0.007186577939338144,0.061774658236610824,-0.006904241797255682,0.010672868066854036,-0.6468965749419964,0.009722646870538327,-0.7101195681781874,0.001072114397357845,0.001249466366303154,0.8580578287432841,0.06041601869467179,0.05697388348493774,-2.000646838621281,0.056528588015648244,0.06793816251471924
exec,all,bucket,TU,86331,67,67,0.034436103611617884,0.014841705669159792,2.320225476723617,0.014156843652537516,2.432470433156578,-0.0015337572299910706,0.02128048999123978,-0.07207339824517431,0.016228386761442753,-0.09451076391863826,-0.035969860841608955,0.03121553851331369,-1.1523062729245406,0.022691518525393566,-1.5851676387966673,-0.0035830316086235734,0.0031564778733095236,-1.1351359814433972,0.04453922102480895,0.04264006571348372,-1.902613444827774,0.15798618960485503,0.14004579476673837
exec,all,bucket,FV,86336,67,67,0.023141869556286974,0.013964568102444374,1.6571847683736236,0.013702243838878981,1.688910942500077,-0.01595997294614493,0.013614668113039076,-1.1722630925435267,0.016222184799398538,-0.9838362183333449,-0.0391018425024319,0.0217157006255488,-1.800625417373275,0.022461460605628935,-1.740841487958838,0.0005738090321526795,0.0023380982060589397,0.24541699346319704,0.6896578907475981,0.40816421745733117,1.1600281621376207,0.13446430702126524,0.14341020774553126
exec,all,bucket,TY_UXY,86340,67,67,0.018087274044454944,0.011765061495862315,1.5373718234125766,0.01226340947703936,1.4748976684110187,-0.008000087859678854,0.012860485162265881,-0.6220673449514966,0.013131832372300116,-0.6092133704473713,-0.026087361904133795,0.014679459720660397,-1.7771336548182022,0.01762525399616531,-1.4801126786490322,0.0030053919231783277,0.0032324134218171493,0.9297671835209749,0.4423047851221925,0.30666526914747794,3.708880334750658,0.11549562702293939,0.11678886027786958
exec,all,bucket,US,86339,67,67,0.03369367287779995,0.015309783379752912,2.2007935737588302,0.01616028619133672,2.084967585280922,-0.010967457985507013,0.02284562868585578,-0.48006811877745353,0.022082551789391443,-0.49665718392091934,-0.044661130863306954,0.02810857412957906,-1.5888792742535238,0.028282804732641147,-1.5790912989532329,-0.0004821475735652223,0.004095669374837512,-0.11772131230303486,0.3255049701848693,0.24557053915797153,2.1255507348319944,0.18191824407473517,0.17912218284227405
exec,block,pooled,POOLED,402946,67,67,0.011941605191480196,0.006269070451008621,1.9048446312417704,,,-0.012444073850541833,0.007640618249127169,-1.6286736812120395,,,-0.024385679042022025,0.010274426408432787,-2.373434591152199,,,0.0015598471543684831,0.0018118323517341188,0.8609224539320878,1.04207714549298,0.5103025357259023,-2.18587160024235,0.059258297960074334,0.06341066795704622
exec,block,bucket,SFR_FF,57600,44,44,0.0028461907781319315,0.009760404141445725,0.2916058328001108,,,-0.03692884208515695,0.019099996031998266,-1.9334476312607591,,,-0.03977503286328887,0.017595288670003196,-2.2605501739279874,,,0.008500680472114575,0.007075897970547202,1.201357129158434,12.974830207760991,0.9284427799741963,-4.202108289862142,0.1649934426627922,0.13277431205893167
exec,block,bucket,TU,86331,67,67,0.017693668634888058,0.014506608993041561,1.2196970803704192,,,-0.003064403254678218,0.012622153762757557,-0.2427797436377244,,,-0.020758071889566278,0.021692549234530855,-0.9569217368202605,,,0.0001683423990495958,0.0020505986775820094,0.08209426880548805,0.17319207892454155,0.14762465757807172,-0.7878350812196919,0.10882335103488935,0.11717707444512931
exec,block,bucket,FV,86336,67,67,0.015709297348663553,0.017516849797700365,0.896810644042052,,,0.001356734382997311,0.01685441872845029,0.08049725148379878,,,-0.014352562965666244,0.027649590555597566,-0.519087721635741,,,-0.004348492577953191,0.002606554179462718,-1.66829165195006,0.08636505840362957,0.07949911287697305,-0.5987221549236342,0.14596298775943856,0.1476143030998159
exec,block,bucket,TY_UXY,86340,67,67,0.014753911707980258,0.013439792663704934,1.0977782230096593,,,-0.008526718263191846,0.014102444161371235,-0.6046269827855685,,,-0.023280629971172112,0.020875853818449835,-1.1151941460040768,,,0.002836523711078399,0.003906465172055381,0.7261100729552815,0.577929326944516,0.36625805546285883,0.23594197142905293,0.14903881382880094,0.12965359926288186
exec,block,bucket,US,86339,67,67,0.010105790795280796,0.0166535635892821,0.6068245238385304,,,-0.020022428296076096,0.015175670574257243,-1.3193768405885467,,,-0.030128219091356892,0.01858275579323558,-1.621299845221237,,,0.0011043714488779264,0.0031115560930872386,0.35492577213422044,1.9812826825413972,0.66457390778269,-0.0439008563987229,0.12134642483079153,0.13477904088417822
exec,nonblock,pooled,POOLED,402946,67,67,0.022526458929306024,0.009104921607285375,2.474096966555022,,,-0.00475306345363022,0.0068042245802152875,-0.6985459397461322,,,-0.027279522382936246,0.012710522734723681,-2.1462156161690924,,,0.00035531000489572105,0.0014724102916257493,0.2413118183949995,0.21099913965823872,0.17423558180048393,-1.8256321952809336,0.06872042334217769,0.06397399846619473
exec,nonblock,bucket,SFR_FF,57600,44,44,0.0053628675962533595,0.008640003660938108,0.6207020050812193,,,0.00634712475946544,0.005825046157210818,1.0896265176557172,,,0.0009842571632120807,0.007743447401947359,0.12710839399058294,,,0.0013132652945881409,0.0012876939834262388,1.0198582205796,1.1835318783368265,0.5420263794079848,-0.949458883921611,0.056337723063244034,0.0663626254979254
exec,nonblock,bucket,TU,86331,67,67,0.037232091660867855,0.01639231099598943,2.271314378428833,,,-0.011308128156988732,0.020325654328308813,-0.5563475583287468,,,-0.048540219817856584,0.03132557459063258,-1.549539647785799,,,-0.004790994874148942,0.004033018301456854,-1.1879427555333144,0.3037199268843105,0.2329640903856968,-2.7630327437865416,0.17288445302584687,0.1513790048329174
exec,nonblock,bucket,FV,86336,67,67,0.02752871468616105,0.01389689793682641,1.9809251540382036,,,-0.027170946029018386,0.013691731593764269,-1.9844784308650236,,,-0.05469966071517944,0.021755736413292204,-2.514263809601928,,,0.0016063182409658797,0.0023899600209739114,0.6721109252326753,0.9870038008958508,0.49672969948565526,1.6245135303118339,0.15263829037988336,0.15351500657935616
exec,nonblock,bucket,TY_UXY,86340,67,67,0.019681686066065893,0.013742412095776889,1.4321856984709527,,,5.667972546358549e-05,0.011718524369668786,0.004836763032237266,,,-0.01962500634060231,0.01619902977887445,-1.2114927010132273,,,0.003563777636881958,0.0037813483986699043,0.9424621222777364,0.0028798206247842573,0.002871551072779745,4.054389488790073,0.1391085920250592,0.13426430017044594
exec,nonblock,bucket,US,86339,67,67,0.037013543296389693,0.01550132879103653,2.3877658357774054,,,-0.009688129884231223,0.022402730080901632,-0.4324530916207561,,,-0.04670167318062093,0.027096253287549173,-1.72354726260551,,,-0.0009119239679616252,0.004317734460973137,-0.21120427302889172,0.26174554018383334,0.20744716890039303,1.5657028754858722,0.1953377296649273,0.18674847450828228
exec,D2C,pooled,POOLED,402946,67,67,0.023850705618826615,0.007524945369019119,3.169551996619421,,,-0.008528402180782832,0.00957511737006587,-0.8906838267533596,,,-0.032379107799609445,0.013580272855082192,-2.3842752016202753,,,-0.0010743614770944634,0.0010451301721371485,-1.0279690566176467,0.3575744180101287,0.26339213030711434,-1.632449924753568,0.05845349291506916,0.05674312980834286
