bucket,n_prints,r0_signed_prints,r0_signed_dv01,r0b_signed_prints,r0b_signed_dv01,both_signed
SFR_FF,41745,0.8611809797580549,0.8926712076026279,0.42105641394178944,0.3013199635648802,0.3919990418014133
TU,38575,0.9167336357744653,0.9112641133691424,0.48959170447180816,0.4772160032642822,0.4756189241736876
FV,87204,0.9296706573092978,0.9508005164915607,0.5848355580019265,0.5917870710279667,0.5725884133755332
TY_UXY,73682,0.9245541651963844,0.930280178667874,0.6425721343068863,0.647206475540476,0.6289052957303005
US,51319,0.8969972135076677,0.8794736169605389,0.6107874276583721,0.5963445321637775,0.5966990783140748
ALL,292525,0.9111699854713272,0.9172445627420122,0.5679993162977524,0.5770434055728699,0.552445090163234
