package,structure,tenor,sigma_pkg_bp,polarity,min_size_sigma,vol_keep,drop_fomc,fomc_window,drop_data_days,n_trades,hit_rate,avg_usd,total_usd,sharpe,max_dd_usd
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,False,0,False,399,0.7543859649122807,42581.73660544235,16990112.905571498,5.47478287968843,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,False,0,True,372,0.7580645161290323,43569.90215744651,16208003.602570102,5.357128971419598,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,True,2,False,380,0.7473684210526316,41935.19246185961,15935373.135506652,5.172416383513121,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,True,2,True,353,0.7507082152974505,42927.0930099299,15153263.832505256,5.046667740816148,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,drop_low,False,0,False,268,0.7313432835820896,38767.24729385174,10389622.274752267,3.653938375975119,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,drop_low,False,0,True,250,0.736,40081.29240984005,10020323.102460012,3.6080901679770867,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,drop_low,True,2,False,256,0.7265625,37895.98638927555,9701372.515654542,3.440472503343709,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,drop_low,True,2,True,238,0.7310924369747899,39210.3921990012,9332073.343362287,3.389454317536938,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,high_only,False,0,True,129,0.7441860465116279,48440.83926144346,6248868.264726207,2.961601436532112,-534697.2397313118
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,high_only,False,0,False,138,0.7391304347826086,46419.590804639556,6405903.531040259,2.92823388687266,-362473.2507356405
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,high_only,True,2,True,123,0.7398373983739838,47241.49896319453,5810704.372472927,2.7878060576062196,-534697.2397313118
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,high_only,True,2,False,132,0.7348484848484849,45210.14877868923,5967739.638786979,2.7595907867622556,-362473.2507356405
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,all,False,0,True,372,0.6155913978494624,36695.816307563546,13650843.666413639,2.7148776486966937,-1809745.413760215
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,all,True,2,True,353,0.6118980169971672,37123.94873415395,13104753.903156344,2.637161495873349,-1559495.7429443523
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,all,False,0,False,399,0.6090225563909775,33857.676678511816,13509212.994726215,2.6067067965309545,-1430186.750508435
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,all,True,2,False,380,0.6052631578947368,34113.4821880761,12963123.23146892,2.5291325495096224,-1255442.9092832282
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,all,False,0,False,174,0.6494252873563219,30866.71832450475,5370808.9884638265,2.0824517304003836,-760375.389600873
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,all,True,2,False,169,0.650887573964497,30607.249359072226,5172625.141683206,2.0116885957268535,-760375.389600873
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,all,False,0,True,165,0.6545454545454545,30646.992168074667,5056753.70773232,1.9866688570791629,-865069.8876597509
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,all,True,2,True,160,0.65625,30366.06163094812,4858569.860951699,1.9147441702661723,-857389.2863349095
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,drop_low,False,0,True,256,0.6015625,33159.179687949625,8488750.000115104,1.8549554033555051,-1809745.413760215
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,drop_low,True,2,True,243,0.6008230452674898,33821.9106143786,8218724.279293999,1.8207557766892517,-1559495.7429443523
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,drop_low,False,0,False,273,0.5934065934065934,29237.601772929476,7981865.284009747,1.6877833562826752,-1430186.750508435
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,drop_low,True,2,False,260,0.5923076923076923,29660.921396879392,7711839.563188642,1.6516480794979924,-1255442.9092832282
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,drop_low,False,0,False,126,0.6587301587301587,29348.86445201224,3697956.920953542,1.527472366586621,-725876.1369216889
