package,structure,tenor,sigma_pkg_bp,polarity,min_size_sigma,vol_keep,drop_fomc,fomc_window,drop_data_days,n_trades,hit_rate,avg_usd,total_usd,sharpe,max_dd_usd
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,False,0,False,399,0.7543859649122807,42581.73660544235,16990112.905571498,5.47478287968843,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,False,0,True,372,0.7580645161290323,43569.90215744651,16208003.602570102,5.357128971419598,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,True,2,False,380,0.7473684210526316,41935.19246185961,15935373.135506652,5.172416383513121,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,True,2,True,353,0.7507082152974505,42927.0930099299,15153263.832505256,5.046667740816148,-725575.8755392581
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,all,False,0,True,372,0.6155913978494624,36695.816307563546,13650843.666413639,2.7148776486966937,-1809745.413760215
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,all,False,0,False,399,0.6090225563909775,33857.676678511816,13509212.994726215,2.6067067965309545,-1430186.750508435
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,all,True,2,True,353,0.6118980169971672,37123.94873415395,13104753.903156344,2.637161495873349,-1559495.7429443523
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,all,True,2,False,380,0.6052631578947368,34113.4821880761,12963123.23146892,2.5291325495096224,-1255442.9092832282
SFR9_outright,outright,IMM_9xIMM_10,1.2891628724267838,momentum,0.0,all,False,0,False,399,0.5764411027568922,32083.41616064199,12801283.048096154,1.4836826565595307,-4725364.307338685
SFR9_outright,outright,IMM_9xIMM_10,1.2891628724267838,momentum,0.0,all,True,2,False,380,0.5789473684210527,32244.388222758647,12252867.524648286,1.4385336748135424,-4465011.840376779
SFR9_outright,outright,IMM_9xIMM_10,1.2891628724267838,momentum,0.0,all,False,0,True,372,0.5806451612903226,32870.972296735396,12228001.694385566,1.4445374640546322,-4911841.775699139
SFR7_outright,outright,IMM_7xIMM_8,1.3977348498641564,momentum,0.0,all,False,0,False,399,0.5664160401002506,30544.04460784514,12187073.79853021,1.3858117665509855,-3983495.190604765
SFR8_outright,outright,IMM_8xIMM_9,1.3390402203016987,momentum,0.0,all,False,0,False,399,0.5714285714285714,30424.8421726493,12139512.02688707,1.3948451403423496,-4237636.819478583
SFR12_outright,outright,IMM_12xIMM_13,1.2126807505277215,momentum,0.0,all,False,0,False,399,0.5488721804511278,29975.72449277038,11960314.072615381,1.4342068170642972,-4048533.344491739
SFR8_outright,outright,IMM_8xIMM_9,1.3390402203016987,momentum,0.0,all,False,0,True,372,0.5725806451612904,31722.99950029624,11800955.8141102,1.3812914441249797,-4698599.242566746
SFR7_outright,outright,IMM_7xIMM_8,1.3977348498641564,momentum,0.0,all,True,2,False,380,0.5710526315789474,30907.24650107629,11744753.67040899,1.3575639999394253,-3820924.2891810723
SFR9_outright,outright,IMM_9xIMM_10,1.2891628724267838,momentum,0.0,all,True,2,True,353,0.5835694050991501,33086.64637659405,11679586.170937698,1.3983468963464512,-4651489.308737233
SFR8_outright,outright,IMM_8xIMM_9,1.3390402203016987,momentum,0.0,all,True,2,False,380,0.5763157894736842,30623.960441314568,11637104.967699535,1.3565130134645227,-3900319.2334472425
SFR7_outright,outright,IMM_7xIMM_8,1.3977348498641564,momentum,0.0,all,False,0,True,372,0.5645161290322581,31280.37899103251,11636300.984664094,1.3486016390564846,-4330813.241099726
SFR12_outright,outright,IMM_12xIMM_13,1.2126807505277215,momentum,0.0,all,True,2,False,380,0.5526315789473685,30441.403029730347,11567733.151297532,1.401765275632682,-4207216.3445408605
SFR12_outright,outright,IMM_12xIMM_13,1.2126807505277215,momentum,0.0,all,False,0,True,372,0.5483870967741935,31086.60187435798,11564215.897261169,1.4148594495385474,-3757547.704284724
SFR8_outright,outright,IMM_8xIMM_9,1.3390402203016987,momentum,0.0,all,True,2,True,353,0.5779036827195467,32007.220268902736,11298548.754922666,1.3424078810046582,-4213048.479689654
SFR7_outright,outright,IMM_7xIMM_8,1.3977348498641564,momentum,0.0,all,True,2,True,353,0.5694050991501416,31710.993927883497,11193980.856542874,1.319609554820292,-3821453.13205475
SFR12_outright,outright,IMM_12xIMM_13,1.2126807505277215,momentum,0.0,all,True,2,True,353,0.5524079320113314,31647.691149981074,11171634.97594332,1.3818538490677303,-3916230.7043338455
SFR4_outright,outright,IMM_4xIMM_5,1.5014407117978545,momentum,0.0,all,False,0,True,372,0.5887096774193549,29765.272604654383,11072681.40893143,1.3949562452899011,-3950156.0429108366
