package,structure,tenor,sigma_pkg_bp,polarity,min_size_sigma,vol_keep,drop_fomc,fomc_window,drop_data_days,n_trades,hit_rate,avg_usd,total_usd,sharpe,max_dd_usd
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,False,0,False,399,0.7543859649122807,42581.73660544235,16990112.905571498,5.47478287968843,-725575.8755392581
SFR2_outright,outright,IMM_2xIMM_3,1.1893890633899853,momentum,0.0,all,False,0,True,372,0.6155913978494624,36695.816307563546,13650843.666413639,2.7148776486966937,-1809745.413760215
SFR9_outright,outright,IMM_9xIMM_10,1.2891628724267838,momentum,0.0,all,False,0,False,399,0.5764411027568922,32083.41616064199,12801283.048096154,1.4836826565595307,-4725364.307338685
SFR3_outright,outright,IMM_3xIMM_4,1.416085455065521,momentum,0.0,all,False,0,True,372,0.5752688172043011,26359.80016029384,9805845.659629308,1.4368870282412967,-3488185.652814623
SFR12_outright,outright,IMM_12xIMM_13,1.2126807505277215,momentum,0.0,all,False,0,False,399,0.5488721804511278,29975.72449277038,11960314.072615381,1.4342068170642972,-4048533.344491739
SFR4_outright,outright,IMM_4xIMM_5,1.5014407117978545,momentum,0.0,all,False,0,True,372,0.5887096774193549,29765.272604654383,11072681.40893143,1.3949562452899011,-3950156.0429108366
SFR8_outright,outright,IMM_8xIMM_9,1.3390402203016987,momentum,0.0,all,False,0,False,399,0.5714285714285714,30424.8421726493,12139512.02688707,1.3948451403423496,-4237636.819478583
SFR7_outright,outright,IMM_7xIMM_8,1.3977348498641564,momentum,0.0,all,False,0,False,399,0.5664160401002506,30544.04460784514,12187073.79853021,1.3858117665509855,-3983495.190604765
SFR11_outright,outright,IMM_11xIMM_12,1.2191627178057758,momentum,0.0,all,True,2,False,380,0.55,28808.231602882584,10947128.009095382,1.3197001202114405,-3994378.2891659513
SFR10_outright,outright,IMM_10xIMM_11,1.2526369599745357,momentum,0.0,all,False,0,False,399,0.5639097744360902,27665.703152222133,11038615.557736631,1.2948147908557517,-4837701.970266692
SFR6_outright,outright,IMM_6xIMM_7,1.4696627430574736,momentum,0.0,all,False,0,False,399,0.5614035087719298,23050.977665427243,9197340.08850547,1.0408565868329356,-5275545.987698019
SFR5_outright,outright,IMM_5xIMM_6,1.5166073546490741,momentum,0.0,all,False,0,True,372,0.5752688172043011,20981.746976584327,7805209.875289369,0.9235856110896902,-5196673.686219871
