label,year,n_days,n_speech,mean_abs_speech,mean_abs_nonspeech,excess_ratio,ci_lo,ci_hi,ci_width,ci_excludes_one,regime
2019,2019,218,89,3.500686733297628,4.296584909542953,0.8147602821772261,0.5463057851759276,1.2225231934078225,0.6762174082318948,False,Powell
2020,2020,221,75,1.4841477462977217,1.1315864805142142,1.3115636956207688,0.7904793420403956,2.149969585939705,1.3594902438993097,False,Powell
2021,2021,219,99,0.6804564448975,0.916722862082086,0.7422706174819604,0.4518589407858622,1.2565975207466775,0.8047385799608153,False,Powell
2022,2022,217,88,6.355344780750905,6.140673268493992,1.034958953663653,0.8037540776572807,1.330182928465509,0.5264288508082282,False,Powell
2023,2023,218,100,6.039530732713263,7.210337801207827,0.8376210517767366,0.5731699574384141,1.2349894494697111,0.661819492031297,False,Powell
2024,2024,219,121,4.380734690526912,4.114277934980545,1.0647639172066838,0.813355544115816,1.4033745699773656,0.5900190258615496,False,Powell
2025,2025,219,132,3.895645885018053,3.6129891065445654,1.0782334986732962,0.8114347102863034,1.443277322709404,0.6318426124231006,False,Powell
2026 (pre),2026,85,49,4.060244907719996,3.0596934882958444,1.3270103437653253,0.9275472416163716,1.9385930862946872,1.0110458446783155,False,Powell
2026 (post),2026,56,22,3.722441102818412,3.1526490979427386,1.1807343561474986,0.8575266707742134,1.6112002641868617,0.7536735934126483,False,Warsh
